지역,연도,조혼인율,혼인건수,평균초혼연령,사교육비,경력단절여성비율,주택매매가격지수,주택전세가격지수,청년순이동률
강원,2015,5.1,7876.0,29.61,17.1,18.352059925093634,,,-0.4
경기,2015,6.0,73950.0,30.02,26.5,23.65461847389558,,,1.3
경남,2015,5.6,18671.0,29.75,20.4,21.036106750392463,,,-0.2
경북,2015,5.3,14273.0,29.53,19.0,21.535181236673772,,,-1.1
광주,2015,5.4,7945.0,30.09,22.8,22.22222222222222,,,-1.5
국외,2015,,6704.0,26.86,,,,,
대구,2015,5.1,12545.0,30.16,24.4,21.78649237472767,,,-1.0
대전,2015,5.8,8805.0,29.83,25.4,22.635135135135133,,,-1.6
부산,2015,5.3,18553.0,30.52,23.4,19.402985074626866,,,-0.7
서울,2015,6.5,64193.0,30.8,33.8,20.603015075376884,,,-0.9
세종,2015,8.2,1498.0,30.32,19.6,,,,35.8
울산,2015,6.4,7483.0,29.65,21.9,31.70731707317073,,,0.2
인천,2015,5.9,17118.0,29.85,21.3,21.228070175438596,,,0.5
전국,2015,5.9,302828.0,29.96,24.4,21.681832444304987,,,0.0
전남,2015,4.9,9275.0,29.33,16.5,18.666666666666668,,,-0.7
전북,2015,4.9,9060.0,29.4,18.6,18.75,,,-1.4
제주,2015,6.0,3676.0,30.05,20.1,13.793103448275861,,,2.6
충남,2015,6.0,12331.0,29.15,18.0,23.24455205811138,,,0.4
충북,2015,5.6,8872.0,29.48,19.0,19.19191919191919,,,-0.3
강원,2016,4.9,7468.0,29.78,18.4,17.578125,,,-1.2
경기,2016,5.6,70052.0,30.21,27.9,21.653704461727386,,,1.7
경남,2016,5.3,17580.0,29.91,20.9,21.70418006430868,,,-0.7
경북,2016,5.0,13363.0,29.75,19.3,20.0,,,-1.4
광주,2016,5.1,7468.0,30.14,22.8,20.070422535211268,,,-1.1
국외,2016,,5096.0,26.56,,,,,
대구,2016,5.0,12216.0,30.27,26.5,19.101123595505616,,,-0.8
대전,2016,5.5,8325.0,29.95,25.7,21.908127208480565,,,-0.6
부산,2016,4.9,17113.0,30.63,25.6,19.725557461406517,,,-1.0
서울,2016,5.9,57643.0,31.01,35.2,19.885714285714286,,,-0.7
세종,2016,7.1,1612.0,29.98,23.7,,,,17.4
울산,2016,6.0,7006.0,29.74,23.9,27.73109243697479,,,-1.0
인천,2016,5.5,16092.0,30.06,23.2,20.141342756183743,,,0.4
전국,2016,5.5,281635.0,30.11,25.6,20.52047781569966,,,0.0
전남,2016,4.5,8554.0,29.47,16.2,19.39799331103679,,,-1.7
전북,2016,4.4,8216.0,29.65,19.4,15.434083601286176,,,-1.6
제주,2016,5.9,3705.0,30.42,22.6,13.793103448275861,,,2.8
충남,2016,5.7,11792.0,29.27,17.7,22.897196261682243,,,0.6
충북,2016,5.3,8334.0,29.56,19.7,19.93127147766323,,,-0.4
