지역,연도,자연증가율
강원,2015,-0.2
경기,2015,4.9
경남,2015,2.5
경북,2015,0.5
광주,2015,3.4
국외,2015,
대구,2015,2.6
대전,2015,4.5
부산,2015,1.7
서울,2015,4.0
세종,2015,9.5
울산,2015,5.9
인천,2015,4.2
전국,2015,3.2
전남,2015,-0.8
전북,2015,0.2
제주,2015,3.7
충남,2015,2.0
충북,2015,1.9
강원,2016,-0.9
경기,2016,4.0
경남,2016,1.8
경북,2016,-0.1
광주,2016,3.0
국외,2016,
대구,2016,1.9
대전,2016,3.6
부산,2016,1.1
서울,2016,3.3
세종,2016,9.9
울산,2016,5.1
인천,2016,3.3
전국,2016,2.5
전남,2016,-1.4
전북,2016,-0.7
제주,2016,3.1
충남,2016,1.3
충북,2016,1.2
강원,2017,-1.7
경기,2017,2.9
경남,2017,0.7
경북,2017,-1.2
광주,2017,1.8
국외,2017,
대구,2017,0.9
대전,2017,2.6
부산,2017,0.0
서울,2017,2.3
세종,2017,9.0
울산,2017,3.9
인천,2017,2.1
전국,2017,1.4
전남,2017,-2.4
전북,2017,-1.6
제주,2017,2.0
충남,2017,0.2
충북,2017,0.2
강원,2018,-2.4
경기,2018,2.2
경남,2018,-0.4
경북,2018,-2.3
광주,2018,0.9
국외,2018,
대구,2018,0.1
대전,2018,1.3
부산,2018,-1.0
서울,2018,1.3
세종,2018,8.3
울산,2018,2.4
인천,2018,1.6
전국,2018,0.5
전남,2018,-3.2
전북,2018,-2.5
제주,2018,1.3
충남,2018,-0.7
충북,2018,-0.5
강원,2019,-2.4
경기,2019,1.7
경남,2019,-0.9
경북,2019,-2.7
광주,2019,0.5
국외,2019,
대구,2019,-0.2
대전,2019,0.6
부산,2019,-1.5
서울,2019,1.0
세종,2019,8.0
울산,2019,2.0
인천,2019,1.2
전국,2019,0.1
전남,2019,-3.2
전북,2019,-3.1
제주,2019,0.8
충남,2019,-1.1
충북,2019,-1.3
강원,2020,-2.8
경기,2020,1.1
경남,2020,-1.8
경북,2020,-3.8
광주,2020,-0.3
국외,2020,
대구,2020,-1.4
대전,2020,-0.1
부산,2020,-2.3
서울,2020,0.2
세종,2020,6.2
울산,2020,1.2
인천,2020,0.1
전국,2020,-0.6
전남,2020,-4.2
전북,2020,-3.6
제주,2020,0.1
충남,2020,-1.9
충북,2020,-1.9
강원,2021,-3.5
경기,2021,0.7
경남,2021,-2.4
경북,2021,-4.2
광주,2021,0.0
국외,2021,
대구,2021,-1.6
대전,2021,-0.3
부산,2021,-2.7
서울,2021,-0.3
세종,2021,6.1
울산,2021,0.6
인천,2021,-0.5
전국,2021,-1.1
전남,2021,-5.0
전북,2021,-4.2
제주,2021,-0.7
충남,2021,-2.5
충북,2021,-2.4
강원,2022,-5.1
경기,2022,-0.3
경남,2022,-4.1
경북,2022,-6.3
광주,2022,-1.3
국외,2022,
대구,2022,-3.2
대전,2022,-1.1
부산,2022,-4.1
서울,2022,-1.4
세종,2022,4.1
울산,2022,-0.9
인천,2022,-1.5
전국,2022,-2.4
전남,2022,-7.1
전북,2022,-6.1
제주,2022,-1.8
충남,2022,-4.5
충북,2022,-4.2
강원,2023,-4.9
경기,2023,-0.5
경남,2023,-4.1
경북,2023,-5.9
광주,2023,-1.9
국외,2023,
대구,2023,-3.0
대전,2023,-1.0
부산,2023,-4.1
서울,2023,-1.3
세종,2023,3.0
울산,2023,-0.9
인천,2023,-1.5
전국,2023,-2.4
전남,2023,-6.6
전북,2023,-6.0
제주,2023,-2.2
충남,2023,-4.4
충북,2023,-3.7
강원,2024,-5.2
경기,2024,-0.4
경남,2024,-4.3
경북,2024,-5.9
광주,2024,-2.2
국외,2024,
대구,2024,-2.8
대전,2024,-1.1
부산,2024,-4.2
서울,2024,-1.2
세종,2024,3.2
울산,2024,-1.0
인천,2024,-1.2
전국,2024,-2.4
전남,2024,-6.6
전북,2024,-5.9
제주,2024,-2.6
충남,2024,-4.2
충북,2024,-3.7
강원,2025,-5.2
경기,2025,-0.1
경남,2025,-4.2
경북,2025,-6.3
광주,2025,-1.9
국외,2025,
대구,2025,-2.8
대전,2025,-1.1
부산,2025,-4.1
서울,2025,-0.8
세종,2025,3.4
울산,2025,-0.8
인천,2025,-0.9
전국,2025,-2.1
전남,2025,-6.3
전북,2025,-6.0
제주,2025,-2.1
충남,2025,-4.0
충북,2025,-3.5
