변수,complete_case_cosine,complete_case_rank,imputed_cosine,imputed_rank,complete_case_pcr_coef,imputed_pcr_coef,rank_change
맞벌이가구비율,0.9934656130527387,1,0.5623393579443754,3,0.028345896137053687,0.004313474375012484,2
보육시설,0.8749682205602372,2,0.05601673270615343,4,-0.020010301469868794,0.0038021673347168328,2
삶의만족도,0.6534732372416663,3,-0.3287196052709699,5,0.024136593092273746,-0.001242486012838124,2
주거안정률,0.5328374926543022,4,0.9981324984052695,1,0.018086576122169844,0.018976058936274083,-3
물가지수,0.4406435340990027,5,0.9496784486211822,2,0.01897639516181386,0.017150883437635746,-3
개인소득,-0.3328780554286583,6,-0.9969678444707184,10,-0.020419271450639195,-0.004836937036394899,4
어린이집충족률,-0.5254348553642989,7,-0.6259721210984814,7,0.012453311321805754,-0.016712216188063633,0
범죄율,-0.6355706540086052,8,-0.7539236517282916,8,-0.011536805823283876,-0.02619723456440283,0
주관적소득부족,-0.7915679160014008,9,-0.37711791122301414,6,-0.01308912968717801,-0.010679031133268648,-3
청년고용률,-0.9719050721158865,10,-0.9310525769766663,9,-0.02425334138429137,-0.0171921441690331,-1
