,출산율,보육시설,주거안정률,삶의만족도,주관적소득부족,맞벌이가구비율,물가지수,범죄율,청년고용률,어린이집충족률,개인소득
출산율,1.0,0.13628602788919902,0.6411701067670301,0.4882223427168139,-0.5057498189117652,0.6972601474951409,0.5941743656115797,-0.363425131087171,-0.5215853507390071,-0.1366649280568483,-0.374561342392031
보육시설,0.13628602788919902,1.0,0.2954737718678891,0.21204410136270266,-0.45151564831143565,0.4108639989557547,0.2917922947799309,0.10698895453821854,0.05398112572666566,-0.48960256668659297,-0.21127877500050576
주거안정률,0.6411701067670301,0.2954737718678891,1.0,-0.090738797130417,-0.06842236262233077,0.5117844197270316,0.7105950065713196,-0.1127028574248324,-0.516248511690888,-0.5544112632579111,-0.6593593354581696
삶의만족도,0.4882223427168139,0.21204410136270266,-0.090738797130417,1.0,-0.785257888927839,0.5051569694088563,-0.011280051130540933,-0.298058125023578,-0.3460343250103655,0.10456119341509945,0.04715741657031333
주관적소득부족,-0.5057498189117652,-0.45151564831143565,-0.06842236262233077,-0.785257888927839,1.0,-0.6696856173288963,-0.06618754263653773,0.17992202904616228,0.3683556449726918,0.20908047974964847,-0.006225746325350414
맞벌이가구비율,0.6972601474951409,0.4108639989557547,0.5117844197270316,0.5051569694088563,-0.6696856173288963,1.0,0.494428373230404,0.04940075356532108,-0.3662261849824647,-0.26507440818766664,-0.5183837956249878
물가지수,0.5941743656115797,0.2917922947799309,0.7105950065713196,-0.011280051130540933,-0.06618754263653773,0.494428373230404,1.0,-0.007311544074857145,-0.06162150281082213,-0.3658516380979718,-0.6901762315318728
범죄율,-0.363425131087171,0.10698895453821854,-0.1127028574248324,-0.298058125023578,0.17992202904616228,0.04940075356532108,-0.007311544074857145,1.0,0.43770779500499934,0.14099874830569326,-0.1963550435228902
청년고용률,-0.5215853507390071,0.05398112572666566,-0.516248511690888,-0.3460343250103655,0.3683556449726918,-0.3662261849824647,-0.06162150281082213,0.43770779500499934,1.0,0.4354162951254182,0.20497032852350816
어린이집충족률,-0.1366649280568483,-0.48960256668659297,-0.5544112632579111,0.10456119341509945,0.20908047974964847,-0.26507440818766664,-0.3658516380979718,0.14099874830569326,0.4354162951254182,1.0,0.44116432621075113
개인소득,-0.374561342392031,-0.21127877500050576,-0.6593593354581696,0.04715741657031333,-0.006225746325350414,-0.5183837956249878,-0.6901762315318728,-0.1963550435228902,0.20497032852350816,0.44116432621075113,1.0
