변수,extended_rank,extended_cosine,extended_imputed_rank,extended_imputed_cosine,base_rank,base_cosine,extended_rank_change_after_imputation,rank_change_from_base,추가요인여부
맞벌이가구비율,1,0.9906250437390169,6,0.3707927088538862,1.0,0.9934656130527387,5,0.0,False
삶의만족도,2,0.8659421696762553,11,-0.39336015962629106,3.0,0.6534732372416663,9,-1.0,False
보육시설,3,0.8329884229186646,9,-0.29119492135622727,2.0,0.8749682205602372,6,1.0,False
물가지수,4,0.6557909580406475,4,0.8057778335336272,5.0,0.4406435340990027,0,-1.0,False
조혼인율,5,0.45599166322460527,12,-0.40048346323277567,,,7,,True
주거안정률,6,0.43478557673662643,3,0.8141406305222815,4.0,0.5328374926543022,-3,2.0,False
청년순이동률,7,0.1801045801285287,7,-0.08247912784095018,,,0,,True
주택매매가격지수,8,0.13091677858258527,2,0.8534885630841276,,,-6,,True
경력단절여성비율,9,0.10010977732160425,5,0.536345612124161,,,-4,,True
주택전세가격지수,10,0.05341802527908046,1,0.9991742460297682,,,-9,,True
어린이집충족률,11,-0.0465630440440587,10,-0.35039230484276007,7.0,-0.5254348553642989,-1,4.0,False
개인소득,12,-0.17066982478253856,14,-0.7505728900216865,6.0,-0.3328780554286583,2,6.0,False
사교육비,13,-0.6368233604185051,13,-0.7420073919797517,,,0,,True
혼인건수,14,-0.747284618894761,17,-0.9956629975944427,,,3,,True
평균초혼연령,15,-0.7491634895010775,16,-0.7963101173093181,,,1,,True
범죄율,16,-0.839394627017277,15,-0.7627578754697162,8.0,-0.6355706540086052,-1,8.0,False
청년고용률,17,-0.883577454800437,18,-0.997156385051762,10.0,-0.9719050721158865,1,7.0,False
주관적소득부족,18,-0.933957553011681,8,-0.2740765061666559,9.0,-0.7915679160014008,-10,9.0,False
