,출산율,보육시설,주거안정률,삶의만족도,주관적소득부족,맞벌이가구비율,물가지수,범죄율,청년고용률,어린이집충족률,개인소득
출산율,1.0,0.09781502643884094,0.6401329867459392,0.11083071816711691,-0.5499171218624774,0.622846178129348,0.4906830631738374,-0.4494035854044849,-0.4368044105971675,-0.2200754328915408,-0.3225012538363328
보육시설,0.09781502643884094,1.0,0.3544185746120272,0.5383439813819451,-0.499855361284833,0.40155939096630333,0.2700772436610919,0.1315325907692235,-0.04697364960759079,-0.5316658808859261,-0.28629005277055614
주거안정률,0.6401329867459392,0.3544185746120272,1.0,-0.09591432876524554,-0.3762748460279163,0.46415706075798996,0.6863607652686325,-0.17245298494834044,-0.46848467123646365,-0.5943672160227965,-0.6678957793515374
삶의만족도,0.11083071816711691,0.5383439813819451,-0.09591432876524554,1.0,-0.5334640474707626,0.327975591168863,-0.24992879596079073,0.0885619229039618,-0.20721441073637906,-0.3760430680939582,0.13169766810073175
주관적소득부족,-0.5499171218624774,-0.499855361284833,-0.3762748460279163,-0.5334640474707626,1.0,-0.7684458090688148,-0.3114196561705955,0.135807138204274,0.25068609820214866,0.48926380987372803,0.34060165045166557
맞벌이가구비율,0.622846178129348,0.40155939096630333,0.46415706075798996,0.327975591168863,-0.7684458090688148,1.0,0.3210985427233842,0.12470450291730602,-0.3030373492897625,-0.36009896930331475,-0.514206116679087
물가지수,0.4906830631738374,0.2700772436610919,0.6863607652686325,-0.24992879596079073,-0.3114196561705955,0.3210985427233842,1.0,-0.22749554879985065,0.01546692948881628,-0.4048173928325371,-0.5536565475654697
범죄율,-0.4494035854044849,0.1315325907692235,-0.17245298494834044,0.0885619229039618,0.135807138204274,0.12470450291730602,-0.22749554879985065,1.0,0.3414091901786966,0.134863141552045,-0.22001357269599342
청년고용률,-0.4368044105971675,-0.04697364960759079,-0.46848467123646365,-0.20721441073637906,0.25068609820214866,-0.3030373492897625,0.01546692948881628,0.3414091901786966,1.0,0.5061128168620205,0.23663385544768933
어린이집충족률,-0.2200754328915408,-0.5316658808859261,-0.5943672160227965,-0.3760430680939582,0.48926380987372803,-0.36009896930331475,-0.4048173928325371,0.134863141552045,0.5061128168620205,1.0,0.4582116151075459
개인소득,-0.3225012538363328,-0.28629005277055614,-0.6678957793515374,0.13169766810073175,0.34060165045166557,-0.514206116679087,-0.5536565475654697,-0.22001357269599342,0.23663385544768933,0.4582116151075459,1.0
